Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-10-26 11:36:01,2017-10-26 11:41:19,5m - 17.623s,INCOMPLETE
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-10-26 11:36:02,2017-10-26 11:38:52,2m - 50.296s,FAILED
callTestCase,Firefox 43.0,,2017-10-26 11:36:03,2017-10-26 11:36:41,38.330s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:36:41,2017-10-26 11:37:09,27.339s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:37:09,2017-10-26 11:37:53,43.977s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:37:53,2017-10-26 11:38:17,24.197s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:38:17,2017-10-26 11:38:52,35.324s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-10-26 11:38:52,2017-10-26 11:41:19,2m - 26.655s,INCOMPLETE
callTestCase,Firefox 43.0,,2017-10-26 11:38:52,2017-10-26 11:39:29,36.479s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:39:29,2017-10-26 11:39:57,27.797s,PASSED
callTestCase,Firefox 43.0,,2017-10-26 11:39:57,2017-10-26 11:41:19,1m - 22.343s,INCOMPLETE
