Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_RentalInvoice,Firefox 56.0,,2017-11-15 10:57:36,2017-11-15 11:08:14,10m - 37.876s,PASSED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 1,Firefox 56.0,,2017-11-15 10:57:37,2017-11-15 11:03:12,5m - 35.595s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 10:57:38,2017-11-15 10:59:30,1m - 52.411s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 10:59:30,2017-11-15 11:02:11,2m - 41.294s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 11:02:11,2017-11-15 11:03:12,1m - 0.965s,PASSED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 2,Firefox 56.0,,2017-11-15 11:03:12,2017-11-15 11:08:14,5m - 1.644s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 11:03:12,2017-11-15 11:04:34,1m - 21.458s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 11:04:34,2017-11-15 11:07:13,2m - 39.611s,PASSED
callTestCase,Firefox 56.0,,2017-11-15 11:07:13,2017-11-15 11:08:14,1m - 0.564s,PASSED
