Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_RentalInvoicewithDiffGatewayTestSuite,Firefox 56.0,,2017-11-26 00:27:03,2017-11-26 01:19:20,52m - 17.054s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 1,Firefox 56.0,,2017-11-26 00:27:03,2017-11-26 00:53:11,26m - 7.892s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 00:27:04,2017-11-26 00:35:34,8m - 29.758s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 00:35:34,2017-11-26 00:43:09,7m - 34.890s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 00:43:09,2017-11-26 00:53:11,10m - 2.543s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC - Iteration 2,Firefox 56.0,,2017-11-26 00:53:11,2017-11-26 01:19:19,26m - 7.599s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 00:53:11,2017-11-26 01:01:38,8m - 26.746s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 01:01:38,2017-11-26 01:09:13,7m - 35.326s,FAILED
callTestCase,Firefox 56.0,,2017-11-26 01:09:13,2017-11-26 01:19:19,10m - 5.478s,FAILED
