Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_RentalInvoicewithSplitTenderTestSuite,Firefox 56.0,,2017-11-17 14:16:46,2017-11-17 14:32:09,15m - 23.344s,INCOMPLETE
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC004_RentalContractInvoice_SplitTender - Iteration 1,Firefox 56.0,,2017-11-17 14:16:46,2017-11-17 14:26:06,9m - 19.761s,FAILED
callTestCase,Firefox 56.0,,2017-11-17 14:16:47,2017-11-17 14:18:42,1m - 54.775s,PASSED
callTestCase,Firefox 56.0,,2017-11-17 14:18:42,2017-11-17 14:22:03,3m - 21.070s,PASSED
callTestCase,Firefox 56.0,,2017-11-17 14:22:03,2017-11-17 14:26:06,4m - 3.055s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC004_RentalContractInvoice_SplitTender - Iteration 2,Firefox 56.0,,2017-11-17 14:26:06,2017-11-17 14:32:09,6m - 3.025s,INCOMPLETE
callTestCase,Firefox 56.0,,2017-11-17 14:26:06,2017-11-17 14:27:32,1m - 25.907s,PASSED
callTestCase,Firefox 56.0,,2017-11-17 14:27:32,2017-11-17 14:30:48,3m - 16.051s,PASSED
callTestCase,Firefox 56.0,,2017-11-17 14:30:48,2017-11-17 14:32:09,1m - 21.015s,INCOMPLETE
