Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_ServiceSplitTendetTestSuite,Firefox 56.0,,2017-11-08 18:41:48,2017-11-08 18:48:46,6m - 58.183s,INCOMPLETE
,,,,,,
Test Cases/Service/CreditCardRegression/TC002_Service_CreditCardSplitTender - Iteration 1,Firefox 56.0,,2017-11-08 18:41:48,2017-11-08 18:48:26,6m - 37.185s,FAILED
callTestCase,Firefox 56.0,,2017-11-08 18:41:49,2017-11-08 18:43:09,1m - 19.912s,PASSED
callTestCase,Firefox 56.0,,2017-11-08 18:43:09,2017-11-08 18:43:35,25.446s,PASSED
callTestCase,Firefox 56.0,,2017-11-08 18:43:35,2017-11-08 18:44:11,36.026s,PASSED
callTestCase,Firefox 56.0,,2017-11-08 18:44:11,2017-11-08 18:47:07,2m - 56.790s,PASSED
callTestCase,Firefox 56.0,,2017-11-08 18:47:07,2017-11-08 18:47:18,10.319s,PASSED
callTestCase,Firefox 56.0,,2017-11-08 18:47:18,2017-11-08 18:48:26,1m - 7.836s,FAILED
,,,,,,
Test Cases/Service/CreditCardRegression/TC002_Service_CreditCardSplitTender - Iteration 2,Firefox 56.0,,2017-11-08 18:48:26,2017-11-08 18:48:46,20.449s,INCOMPLETE
callTestCase,Firefox 56.0,,2017-11-08 18:48:26,2017-11-08 18:48:46,20.406s,INCOMPLETE
