Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_ServiceTestSuite,Firefox 56.0,,2017-10-25 15:46:02,2017-10-25 15:52:36,6m - 33.811s,INCOMPLETE
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 1,Firefox 56.0,,2017-10-25 15:46:02,2017-10-25 15:50:14,4m - 12.278s,FAILED
callTestCase,Firefox 56.0,,2017-10-25 15:46:03,2017-10-25 15:47:03,1m - 0.014s,PASSED
callTestCase,Firefox 56.0,,2017-10-25 15:47:03,2017-10-25 15:47:28,25.350s,PASSED
callTestCase,Firefox 56.0,,2017-10-25 15:47:28,2017-10-25 15:48:04,35.919s,PASSED
callTestCase,Firefox 56.0,,2017-10-25 15:48:04,2017-10-25 15:49:31,1m - 26.413s,FAILED
callTestCase,Firefox 56.0,,2017-10-25 15:49:31,2017-10-25 15:49:38,6.876s,PASSED
callTestCase,Firefox 56.0,,2017-10-25 15:49:38,2017-10-25 15:50:14,36.787s,FAILED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 2,Firefox 56.0,,2017-10-25 15:50:15,2017-10-25 15:52:36,2m - 21.071s,INCOMPLETE
callTestCase,Firefox 56.0,,2017-10-25 15:50:15,2017-10-25 15:51:06,51.510s,PASSED
callTestCase,Firefox 56.0,,2017-10-25 15:51:06,2017-10-25 15:52:03,57.122s,FAILED
callTestCase,Firefox 56.0,,2017-10-25 15:52:03,2017-10-25 15:52:36,32.404s,INCOMPLETE
