Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_ServiceTestSuitewithDiffGatewayTestSuite,Firefox 56.0,,2017-11-24 19:41:08,2017-11-24 19:48:31,7m - 23.042s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 1,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-11-24 19:41:08,2017-11-24 19:44:51,3m - 42.867s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:41:09,2017-11-24 19:42:06,56.462s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:42:06,2017-11-24 19:42:30,24.595s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:42:30,2017-11-24 19:43:06,35.754s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:43:06,2017-11-24 19:44:10,1m - 4.175s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:44:10,2017-11-24 19:44:17,6.812s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:44:17,2017-11-24 19:44:51,34.058s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 2,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-11-24 19:44:51,2017-11-24 19:48:31,3m - 39.440s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:44:51,2017-11-24 19:45:46,54.807s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:45:46,2017-11-24 19:46:11,24.766s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:46:11,2017-11-24 19:46:46,35.413s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:46:46,2017-11-24 19:47:50,1m - 4.214s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:47:50,2017-11-24 19:47:57,6.659s,PASSED
callTestCase,Firefox 56.0,,2017-11-24 19:47:57,2017-11-24 19:48:31,33.552s,PASSED
