Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_EquipmentTestSuite,Firefox 43.0,,2017-12-06 12:44:50,2017-12-06 13:07:14,22m - 23.908s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 1,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-06 12:44:51,2017-12-06 12:49:54,5m - 2.855s,PASSED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-06 12:44:52,2017-12-06 12:46:18,1m - 26.134s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-06 12:46:18,2017-12-06 12:46:57,39.118s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-12-06 12:46:57,2017-12-06 12:47:12,14.890s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-12-06 12:47:12,2017-12-06 12:48:13,1m - 1.789s,PASSED
callTestCase,Firefox 43.0,Invoice the Agreement through CC Interface,2017-12-06 12:48:13,2017-12-06 12:48:57,43.128s,PASSED
callTestCase,Firefox 43.0,Get Invoice Details,2017-12-06 12:48:57,2017-12-06 12:49:20,22.908s,PASSED
callTestCase,Firefox 43.0,Check the invoices in Open Entries\r\n,2017-12-06 12:49:20,2017-12-06 12:49:54,34.027s,PASSED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway - Iteration 2,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-06 12:49:54,2017-12-06 12:54:37,4m - 43.378s,PASSED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-06 12:49:54,2017-12-06 12:51:18,1m - 24.245s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-06 12:51:18,2017-12-06 12:51:58,39.945s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-12-06 12:51:58,2017-12-06 12:52:12,13.832s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-12-06 12:52:12,2017-12-06 12:53:01,49.625s,PASSED
callTestCase,Firefox 43.0,Invoice the Agreement through CC Interface,2017-12-06 12:53:01,2017-12-06 12:53:42,40.300s,PASSED
callTestCase,Firefox 43.0,Get Invoice Details,2017-12-06 12:53:42,2017-12-06 12:54:05,23.221s,PASSED
callTestCase,Firefox 43.0,Check the invoices in Open Entries\r\n,2017-12-06 12:54:05,2017-12-06 12:54:37,32.177s,PASSED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC002_EquipmentSalesAgreement_Split,Firefox 43.0,Objective: Equipment Credit Card Split Tender Invoicing \n\nSteps:\n1. 'Book a Equipment Agreement with Mode of Payment - 'Credit Card'.\n2. Add Unit\n3. Deliver the Unit\n4. Invoice the Order with Split tender:  two Credit Cards and one cash\n\nExpected Result:\nThree invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and two against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Amount of Invoice against Order B.P. should be invoice amt of order and Invoice Balance should be equal to cash\n,2017-12-06 12:54:37,2017-12-06 13:07:13,12m - 35.962s,FAILED
callTestCase,Firefox 43.0,Create Unit through Purchase Order\r\n,2017-12-06 12:54:37,2017-12-06 12:56:02,1m - 24.959s,PASSED
callTestCase,Firefox 43.0,Create Sales Agreement Header,2017-12-06 12:56:02,2017-12-06 12:56:42,40.075s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-12-06 12:56:42,2017-12-06 12:56:56,14.058s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit\r\n,2017-12-06 12:56:56,2017-12-06 12:57:46,49.913s,PASSED
callTestCase,Firefox 43.0,Invoice th Agreement with Split Payment: 2 CC's and remaining Cash,2017-12-06 12:57:46,2017-12-06 13:07:13,9m - 26.620s,FAILED
