Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_PartsTestSuite,Firefox 43.0,,2017-12-05 15:10:38,2017-12-05 15:19:23,8m - 44.624s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC002_Parts_CreditCard - Iteration 1,Firefox 43.0,,2017-12-05 15:10:39,2017-12-05 15:15:11,4m - 32.586s,PASSED
callTestCase,Firefox 43.0,Create Part Sales Order header with cc,2017-12-05 15:10:39,2017-12-05 15:11:30,50.551s,PASSED
callTestCase,Firefox 43.0,Add Line\r\n,2017-12-05 15:11:30,2017-12-05 15:11:59,28.747s,PASSED
callTestCase,Firefox 43.0,Invoice through Split Payment two cc and one cash\r\n,2017-12-05 15:11:59,2017-12-05 15:13:58,1m - 59.735s,PASSED
callTestCase,Firefox 43.0,Get Invoice Details\r\n,2017-12-05 15:13:58,2017-12-05 15:14:34,35.210s,PASSED
callTestCase,Firefox 43.0,Check invoices in Open Entries,2017-12-05 15:14:34,2017-12-05 15:15:11,37.569s,PASSED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC002_Parts_CreditCard - Iteration 2,Firefox 43.0,,2017-12-05 15:15:11,2017-12-05 15:19:21,4m - 9.823s,FAILED
callTestCase,Firefox 43.0,Create Part Sales Order header with cc,2017-12-05 15:15:11,2017-12-05 15:15:54,42.410s,PASSED
callTestCase,Firefox 43.0,Add Line\r\n,2017-12-05 15:15:54,2017-12-05 15:16:23,29.110s,PASSED
callTestCase,Firefox 43.0,Invoice through Split Payment two cc and one cash\r\n,2017-12-05 15:16:23,2017-12-05 15:19:21,2m - 58.272s,FAILED
