Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_ServiceOrderwithDiffGatewayTestSuite,Firefox 56.0,,2017-12-05 15:39:34,2017-12-05 15:47:20,7m - 45.273s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 1,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-12-05 15:39:35,2017-12-05 15:43:34,3m - 59.042s,PASSED
callTestCase,Firefox 56.0,Service Order>Add Header,2017-12-05 15:39:36,2017-12-05 15:40:37,1m - 0.722s,PASSED
callTestCase,Firefox 56.0,Service Order>Add Segment,2017-12-05 15:40:37,2017-12-05 15:41:01,24.900s,PASSED
callTestCase,Firefox 56.0,Service Order>Add actual for Others,2017-12-05 15:41:01,2017-12-05 15:41:37,35.921s,PASSED
callTestCase,Firefox 56.0,Service Order>CC Interface details,2017-12-05 15:41:37,2017-12-05 15:42:50,1m - 12.148s,PASSED
callTestCase,Firefox 56.0,Service Order>Header Invoice Details ie read invoice series and amount,2017-12-05 15:42:50,2017-12-05 15:42:57,7.143s,PASSED
callTestCase,Firefox 56.0,Service Order>Check open entries for CC BP and Invoice BP,2017-12-05 15:42:57,2017-12-05 15:43:34,37.333s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 2,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-12-05 15:43:34,2017-12-05 15:47:19,3m - 45.346s,PASSED
callTestCase,Firefox 56.0,Service Order>Add Header,2017-12-05 15:43:34,2017-12-05 15:44:31,56.735s,PASSED
callTestCase,Firefox 56.0,Service Order>Add Segment,2017-12-05 15:44:31,2017-12-05 15:44:55,24.609s,PASSED
callTestCase,Firefox 56.0,Service Order>Add actual for Others,2017-12-05 15:44:55,2017-12-05 15:45:31,35.521s,PASSED
callTestCase,Firefox 56.0,Service Order>CC Interface details,2017-12-05 15:45:31,2017-12-05 15:46:35,1m - 4.428s,PASSED
callTestCase,Firefox 56.0,Service Order>Header Invoice Details ie read invoice series and amount,2017-12-05 15:46:35,2017-12-05 15:46:42,6.686s,PASSED
callTestCase,Firefox 56.0,Service Order>Check open entries for CC BP and Invoice BP,2017-12-05 15:46:42,2017-12-05 15:47:19,37.334s,PASSED
